id,question,label
1,What are your business hours?,0
2,Do you offer refunds?,1
3,How do I place an order?,2
4,Can I cancel my order?,2
5,What forms of payment do you accept?,3
6,How long does it take to receive my order?,2
7,Can I track my order?,2
8,What is your return policy?,4
9,How can I contact customer service?,5
10,What is your warranty policy?,6
11,Do you offer free shipping?,7
12,How do I know if my order has been shipped?,2
13,What should I do if I receive a damaged item?,8
14,Can I change my shipping address after I've placed an order?,7
15,How do I leave a product review?,9
16,what is company name?,10
17,How can I make a feedback?,9
18,what types of product do you have?,11
