id,question,response,label
1,What are your business hours?,"Our business hours are from 9 AM to 5 PM, Monday to Friday.",0
2,Do you offer refunds?,"Yes, we offer refunds within 30 days of purchase. Please see our refund policy for more information.",1
3,How do I place an order?,You can place an order on our website or by calling our customer service hotline.,2
4,Can I cancel my order?,"Yes, you can cancel your order as long as it hasn't been shipped yet. Please contact our customer service team for assistance.",2
5,What forms of payment do you accept?,"We accept credit cards, debit cards, and PayPal.",3
6,How long does it take to receive my order?,It depends on your location and the shipping method you choose. Please check our shipping policy for estimated delivery times.,2
7,Can I track my order?,"Yes, you can track your order on our website or by contacting our customer service team.",2
8,What is your return policy?,Our return policy allows you to return any unused or defective items within 30 days of purchase. Please see our return policy for more information.,4
9,How can I contact customer service?,"You can contact our customer service team by phone, email, or live chat on our website.",5
10,What is your warranty policy?,Our products come with a standard one-year warranty. Please see our warranty policy for more information.,6
11,Do you offer free shipping?,"Yes, we offer free shipping on orders over a certain amount. Please see our shipping policy for more information.",7
12,How do I know if my order has been shipped?,We will send you a shipping confirmation email with a tracking number once your order has been shipped.,2
13,What should I do if I receive a damaged item?,Please contact our customer service team as soon as possible and we will assist you with a replacement or refund.,8
14,Can I change my shipping address after I've placed an order?,It depends on the status of your order. Please contact our customer service team for assistance.,7
15,How do I leave a product review?,You can leave a product review on our website or on social media.,9
16,what is company name?,Microtel Technology,10
17,How can I make a feedback?,Please find the feedback button in your application.,9
18,what types of product do you have?,we have a b c,11
